Date,Drinks
01.01.2024,0
02.01.2024,0
03.01.2024,3
04.01.2024,0
05.01.2024,5
06.01.2024,0
07.01.2024,0
08.01.2024,8
09.01.2024,0
10.01.2024,14
11.01.2024,0
12.01.2024,9
13.01.2024,0
14.01.2024,6
15.01.2024,1
16.01.2024,12
17.01.2024,0
18.01.2024,1
19.01.2024,1
20.01.2024,0
21.01.2024,0
22.01.2024,0
23.01.2024,0
24.01.2024,0
25.01.2024,0
26.01.2024,2
27.01.2024,0
28.01.2024,0
29.01.2024,0
30.01.2024,6
31.01.2024,0
01.02.2024,15
02.02.2024,0
03.02.2024,0
04.02.2024,0
05.02.2024,0
06.02.2024,9
07.02.2024,0
08.02.2024,15
09.02.2024,0
10.02.2024,0
11.02.2024,0
12.02.2024,12
13.02.2024,2
14.02.2024,2
15.02.2024,2
16.02.2024,7
17.02.2024,1
18.02.2024,0
19.02.2024,0
20.02.2024,0
21.02.2024,20
22.02.2024,0
23.02.2024,5
24.02.2024,0
25.02.2024,0
26.02.2024,0
27.02.2024,1
28.02.2024,4
29.02.2024,9
01.03.2024,11
02.03.2024,2
03.03.2024,0
04.03.2024,2
05.03.2024,0
06.03.2024,0
07.03.2024,7
08.03.2024,6
09.03.2024,11
10.03.2024,1
11.03.2024,0
12.03.2024,18
13.03.2024,0
14.03.2024,14
15.03.2024,0
16.03.2024,0
17.03.2024,0
18.03.2024,0
19.03.2024,0
20.03.2024,0
21.03.2024,22
22.03.2024,9
23.03.2024,0
24.03.2024,0
25.03.2024,0
26.03.2024,2
27.03.2024,0
28.03.2024,0
29.03.2024,0
30.03.2024,0
31.03.2024,0
01.04.2024,0
02.04.2024,0
03.04.2024,4
04.04.2024,1
05.04.2024,2
06.04.2024,2
07.04.2024,0
08.04.2024,0
09.04.2024,17
10.04.2024,0
11.04.2024,0
12.04.2024,12
13.04.2024,0
14.04.2024,10
15.04.2024,8
16.04.2024,12
17.04.2024,16
18.04.2024,3
19.04.2024,13
20.04.2024,0
21.04.2024,0
22.04.2024,9
23.04.2024,14
24.04.2024,0
25.04.2024,8
26.04.2024,17
27.04.2024,2
28.04.2024,0
29.04.2024,0
30.04.2024,0
01.05.2024,11
02.05.2024,1
03.05.2024,3
04.05.2024,0
05.05.2024,0
06.05.2024,5
07.05.2024,4
08.05.2024,2
09.05.2024,1
10.05.2024,3
11.05.2024,0
12.05.2024,0
13.05.2024,1
14.05.2024,8
15.05.2024,6
16.05.2024,0
17.05.2024,10
18.05.2024,23
19.05.2024,0
20.05.2024,0
21.05.2024,12
22.05.2024,2
23.05.2024,0
24.05.2024,0
25.05.2024,10
26.05.2024,0
27.05.2024,0
28.05.2024,0
29.05.2024,0
30.05.2024,27
31.05.2024,3
01.06.2024,0
02.06.2024,0
03.06.2024,9
04.06.2024,9
05.06.2024,6
06.06.2024,0
07.06.2024,17
08.06.2024,0
09.06.2024,0
10.06.2024,9
11.06.2024,0
12.06.2024,3
13.06.2024,14
14.06.2024,0
15.06.2024,0
16.06.2024,0
17.06.2024,0
18.06.2024,0
19.06.2024,5
20.06.2024,2
21.06.2024,6
22.06.2024,6
23.06.2024,1
24.06.2024,15
25.06.2024,4
26.06.2024,4
27.06.2024,7
28.06.2024,7
29.06.2024,0
30.06.2024,0
01.07.2024,0
02.07.2024,5
03.07.2024,3
04.07.2024,21
05.07.2024,0
06.07.2024,0
07.07.2024,3
08.07.2024,0
09.07.2024,0
10.07.2024,1
11.07.2024,2
12.07.2024,1
13.07.2024,3
14.07.2024,0
15.07.2024,0
16.07.2024,0
17.07.2024,0
18.07.2024,0
19.07.2024,8
20.07.2024,0
21.07.2024,1
22.07.2024,0
23.07.2024,6
24.07.2024,0
25.07.2024,0
26.07.2024,3
27.07.2024,3
28.07.2024,7
29.07.2024,0
30.07.2024,3
31.07.2024,0
01.08.2024,5
02.08.2024,0
03.08.2024,0
04.08.2024,0
05.08.2024,13
06.08.2024,0
07.08.2024,0
08.08.2024,0
09.08.2024,0
10.08.2024,1
11.08.2024,4
12.08.2024,1
13.08.2024,0
14.08.2024,4
15.08.2024,6
16.08.2024,0
17.08.2024,6
18.08.2024,0
19.08.2024,0
20.08.2024,12
21.08.2024,0
22.08.2024,0
23.08.2024,0
24.08.2024,0
25.08.2024,0
26.08.2024,0
27.08.2024,5
28.08.2024,6
29.08.2024,1
30.08.2024,3
31.08.2024,8
01.09.2024,0
02.09.2024,2
03.09.2024,2
04.09.2024,20
05.09.2024,0
06.09.2024,10
07.09.2024,17
08.09.2024,0
09.09.2024,0
10.09.2024,3
11.09.2024,10
12.09.2024,0
13.09.2024,5
14.09.2024,0
15.09.2024,0
16.09.2024,0
17.09.2024,0
18.09.2024,0
19.09.2024,11
20.09.2024,1
21.09.2024,9
22.09.2024,0
23.09.2024,0
24.09.2024,9
25.09.2024,0
26.09.2024,0
27.09.2024,9
28.09.2024,11
29.09.2024,6
30.09.2024,0
01.10.2024,3
02.10.2024,7
03.10.2024,10
04.10.2024,0
05.10.2024,3
06.10.2024,0
07.10.2024,10
08.10.2024,5
09.10.2024,0
10.10.2024,13
11.10.2024,0
12.10.2024,8
13.10.2024,1
14.10.2024,14
15.10.2024,0
16.10.2024,0
17.10.2024,9
18.10.2024,0
19.10.2024,0
20.10.2024,0
21.10.2024,0
22.10.2024,0
23.10.2024,18
24.10.2024,0
25.10.2024,0
26.10.2024,0
27.10.2024,1
28.10.2024,4
29.10.2024,0
30.10.2024,1
31.10.2024,0
01.11.2024,2
02.11.2024,0
03.11.2024,0
04.11.2024,0
05.11.2024,0
06.11.2024,0
07.11.2024,4
08.11.2024,0
09.11.2024,0
10.11.2024,0
11.11.2024,0
12.11.2024,12
13.11.2024,0
14.11.2024,17
15.11.2024,0
16.11.2024,0
17.11.2024,0
18.11.2024,1
19.11.2024,0
20.11.2024,0
21.11.2024,8
22.11.2024,0
23.11.2024,0
24.11.2024,0
25.11.2024,0
26.11.2024,12
27.11.2024,1
28.11.2024,2
29.11.2024,6
30.11.2024,0
01.12.2024,0
02.12.2024,0
03.12.2024,25
04.12.2024,2
05.12.2024,0
06.12.2024,8
07.12.2024,0
08.12.2024,0
09.12.2024,4
10.12.2024,16
11.12.2024,1
12.12.2024,13
13.12.2024,0
14.12.2024,0
15.12.2024,0
16.12.2024,2
17.12.2024,6
18.12.2024,0
19.12.2024,7
20.12.2024,10
21.12.2024,0
22.12.2024,4
23.12.2024,0
24.12.2024,3
25.12.2024,3
26.12.2024,2
27.12.2024,7
28.12.2024,10
29.12.2024,0
30.12.2024,2
31.12.2024,14